,Country,Data as of,Case definition,Number of cases Cumulative,Number of cases in past 21 days,Number of deaths Cumulative
436,Guinea,2015-05-10, Probable,415,Not reported.,415
437,Guinea,2015-05-10, Total,3597,38,2392
438,Guinea,2015-05-10, Confirmed,3174,38,1977
439,Guinea,2015-05-10, Suspected,8,Not reported.,Data not available.
440,Guinea,2015-05-12, Suspected,9,,Not available
441,Guinea,2015-05-12, Probable,419,,419
442,Guinea,2015-05-12, Confirmed,3187,,1980
443,Guinea,2015-05-12, Total,3615,,2399
444,Guinea,2015-05-13, Total,3619,,2401
445,Guinea,2015-05-13, Suspected,11,,Not available
446,Guinea,2015-05-13, Probable,419,,419
447,Guinea,2015-05-13, Confirmed,3189,,1982
448,Guinea,2015-05-16, Total,3626,,2405
449,Guinea,2015-05-16, Confirmed,3195,,1986
450,Guinea,2015-05-16, Suspected,12,,Not available
451,Guinea,2015-05-16, Probable,419,,419
452,Guinea,2015-05-17, Confirmed,3201,43,1988
453,Guinea,2015-05-17, Probable,419,Not reported.,419
454,Guinea,2015-05-17, Suspected,15,Not reported.,Data not available.
455,Guinea,2015-05-17, Total,3635,43,2407
456,Guinea,2015-05-17, Total,3635,,2407
457,Guinea,2015-05-17, Suspected,15,,Not available
458,Guinea,2015-05-17, Probable,419,,419
459,Guinea,2015-05-17, Confirmed,3201,,1988
460,Guinea,2015-05-19, Probable,419,,419
461,Guinea,2015-05-19, Suspected,26,,Not available
462,Guinea,2015-05-19, Total,3649,,2409
463,Guinea,2015-05-19, Confirmed,3204,,1990
464,Guinea,2015-05-20, Total,3647,,2412
465,Guinea,2015-05-20, Suspected,23,,Not available
466,Guinea,2015-05-20, Confirmed,3205,,1993
467,Guinea,2015-05-20, Probable,419,,419
468,Guinea,2015-05-23, Probable,419,,419
469,Guinea,2015-05-23, Confirmed,3208,,1999
470,Guinea,2015-05-23, Suspected,13,,Not available
471,Guinea,2015-05-23, Total,3640,,2418
472,Guinea,2015-05-24, Probable,419,,419
473,Guinea,2015-05-24, Suspected,12,Not reported.,Data not available.
