Virus,Region,Sub-region,Date,Type,Case Number,Comments
Ebolavirus,Africa, Guinea,2015-08-06,Confirmed,3792,
Ebolavirus,Africa, Guinea,2015-08-06,Deaths,2524,
Ebolavirus,Africa, Guinea,2015-08-07,Confirmed,3795,
Ebolavirus,Africa, Guinea,2015-08-07,Deaths,2524,
Ebolavirus,Africa, Guinea,2015-08-10,Confirmed,3791,
Ebolavirus,Africa, Guinea,2015-08-10,Deaths,2524,
Ebolavirus,Africa, Guinea,2015-08-11,Confirmed,3787,
Ebolavirus,Africa, Guinea,2015-08-11,Deaths,2524,
Ebolavirus,Africa, Guinea,2015-08-13,Confirmed,3792,
Ebolavirus,Africa, Guinea,2015-08-13,Deaths,2524,
Ebolavirus,Africa, Guinea,2015-08-14,Confirmed,3791,
Ebolavirus,Africa, Guinea,2015-08-14,Deaths,2524,
Ebolavirus,Africa, Guinea,2015-08-17,Confirmed,3790,
Ebolavirus,Africa, Guinea,2015-08-17,Deaths,2524,
Ebolavirus,Africa, Guinea,2015-08-18,Confirmed,3786,
Ebolavirus,Africa, Guinea,2015-08-18,Deaths,2524,
Ebolavirus,Africa, Guinea,2015-08-20,Confirmed,3792,
Ebolavirus,Africa, Guinea,2015-08-20,Deaths,2526,
Ebolavirus,Africa, Guinea,2015-08-21,Confirmed,3795,
Ebolavirus,Africa, Guinea,2015-08-21,Deaths,2526,
Ebolavirus,Africa, Guinea,2015-08-24,Confirmed,3790,
Ebolavirus,Africa, Guinea,2015-08-24,Deaths,2527,
Ebolavirus,Africa, Guinea,2015-08-25,Confirmed,3792,
Ebolavirus,Africa, Guinea,2015-08-25,Deaths,2527,
Ebolavirus,Africa, Guinea,2015-08-27,Confirmed,3797,
Ebolavirus,Africa, Guinea,2015-08-27,Deaths,2528,
Ebolavirus,Africa, Guinea,2015-08-28,Confirmed,3797,
Ebolavirus,Africa, Guinea,2015-08-28,Deaths,2528,
Ebolavirus,Africa, Guinea,2015-08-31,Confirmed,3790,
Ebolavirus,Africa, Guinea,2015-08-31,Deaths,2528,
Ebolavirus,Africa, Guinea,2015-09-01,Confirmed,3792,
Ebolavirus,Africa, Guinea,2015-09-01,Deaths,2529,
Ebolavirus,Africa, Guinea,2015-09-03,Confirmed,3792,
Ebolavirus,Africa, Guinea,2015-09-03,Deaths,2529,
Ebolavirus,Africa, Guinea,2015-09-04,Confirmed,3792,
Ebolavirus,Africa, Guinea,2015-09-04,Deaths,2529,
Ebolavirus,Africa, Guinea,2015-09-08,Confirmed,3792,
Ebolavirus,Africa, Guinea,2015-09-08,Deaths,2530,
Ebolavirus,Africa, Guinea,2015-09-10,Confirmed,3791,
Ebolavirus,Africa, Guinea,2015-09-10,Deaths,2530,
Ebolavirus,Africa, Guinea,2015-09-11,Confirmed,3791,
Ebolavirus,Africa, Guinea,2015-09-11,Deaths,2530,
Ebolavirus,Africa, Guinea,2015-09-14,Confirmed,3793,
Ebolavirus,Africa, Guinea,2015-09-14,Deaths,2530,
Ebolavirus,Africa, Guinea,2015-09-15,Confirmed,3792,
Ebolavirus,Africa, Guinea,2015-09-15,Deaths,2530,
Ebolavirus,Africa, Guinea,2015-09-17,Confirmed,3794,
Ebolavirus,Africa, Guinea,2015-09-17,Deaths,2530,
Ebolavirus,Africa, Guinea,2015-09-18,Confirmed,3794,
Ebolavirus,Africa, Guinea,2015-09-18,Deaths,2531,
Ebolavirus,Africa, Guinea,2015-09-21,Confirmed,3797,
Ebolavirus,Africa, Guinea,2015-09-21,Deaths,2532,
Ebolavirus,Africa, Guinea,2015-09-22,Confirmed,3800,
Ebolavirus,Africa, Guinea,2015-09-22,Deaths,2532,
Ebolavirus,Africa, Guinea,2015-09-24,Confirmed,3801,
Ebolavirus,Africa, Guinea,2015-09-24,Deaths,2533,
Ebolavirus,Africa, Guinea,2015-09-28,Confirmed,3805,
Ebolavirus,Africa, Guinea,2015-09-28,Deaths,2533,
Ebolavirus,Africa, Guinea,2015-09-29,Confirmed,3805,
Ebolavirus,Africa, Guinea,2015-09-29,Deaths,2533,
Ebolavirus,Africa, Guinea,2015-10-01,Confirmed,3808,
Ebolavirus,Africa, Guinea,2015-10-01,Deaths,2533,
Ebolavirus,Africa, Guinea,2015-10-02,Confirmed,3809,
Ebolavirus,Africa, Guinea,2015-10-02,Deaths,2533,
Ebolavirus,Africa, Guinea,2015-10-05,Confirmed,3804,
Ebolavirus,Africa, Guinea,2015-10-05,Deaths,2534,
Ebolavirus,Africa, Guinea,2015-10-07,Confirmed,3804,
Ebolavirus,Africa, Guinea,2015-10-07,Deaths,2534,
Ebolavirus,Africa, Guinea,2015-10-08,Confirmed,3799,
Ebolavirus,Africa, Guinea,2015-10-08,Deaths,2534,
Ebolavirus,Africa, Guinea,2015-10-09,Confirmed,3800,
Ebolavirus,Africa, Guinea,2015-10-09,Deaths,2534,
Ebolavirus,Africa, Guinea,2015-10-12,Confirmed,3798,
Ebolavirus,Africa, Guinea,2015-10-12,Deaths,2534,
Ebolavirus,Africa, Guinea,2015-10-13,Confirmed,3800,
Ebolavirus,Africa, Guinea,2015-10-13,Deaths,2534,
Ebolavirus,Africa, Guinea,2015-10-15,Confirmed,3802,
Ebolavirus,Africa, Guinea,2015-10-15,Deaths,2534,
Ebolavirus,Africa, Guinea,2015-10-16,Confirmed,3804,
Ebolavirus,Africa, Guinea,2015-10-16,Deaths,2535,
Ebolavirus,Africa, Guinea,2015-10-19,Confirmed,3806,
Ebolavirus,Africa, Guinea,2015-10-19,Deaths,2535,
Ebolavirus,Africa, Guinea,2015-10-20,Confirmed,3803,
Ebolavirus,Africa, Guinea,2015-10-20,Deaths,2535,
