Date,Case Number
2023/02/26,508.0
2023/02/27,498.0
2023/02/28,498.0
2023/03/01,477.0
2023/03/02,450.0
2023/03/03,441.0
2023/03/04,438.0
2023/03/05,432.0
2023/03/06,428.0
2023/03/07,411.0
2023/03/08,410.0
2023/03/09,397.0
2023/03/10,383.0
2023/03/11,368.0
2023/03/12,400.0
2023/03/13,382.0
2023/03/14,391.0
2023/03/15,371.0
2023/03/16,348.0
2023/03/17,372.0
2023/03/18,378.0
2023/03/19,386.0
2023/03/20,359.0
2023/03/21,343.0
2023/03/22,338.0
2023/03/23,326.0
2023/03/24,328.0
2023/03/25,310.0
2023/03/26,298.0
2023/03/27,306.0
2023/03/28,304.0
2023/03/29,295.0
2023/03/30,295.0
2023/03/31,288.0
2023/04/01,277.0
2023/04/02,288.0
2023/04/03,292.0
2023/04/04,269.0
2023/04/05,261.0
2023/04/06,284.0
2023/04/07,254.0
2023/04/08,251.0
2023/04/09,253.0
2023/04/10,257.0
2023/04/11,269.0
2023/04/12,263.0
2023/04/13,249.0
2023/04/14,237.0
2023/04/15,239.0
2023/04/16,240.0
2023/04/17,257.0
2023/04/18,247.0
2023/04/19,219.0
2023/04/20,208.0
2023/04/21,193.0
2023/04/22,185.0
2023/04/23,190.0
2023/04/24,197.0
2023/04/25,184.0
2023/04/26,174.0
2023/04/27,157.0
2023/04/28,144.0
2023/04/29,119.0
2023/04/30,140.0
2023/05/01,148.0
2023/05/02,156.0
2023/05/03,149.0
2023/05/04,161.0
2023/05/05,158.0
2023/05/06,156.0
2023/05/07,164.0
2023/05/08,158.0
2023/05/09,160.0
2023/05/10,159.0
2023/05/11,159.0
2023/05/12,156.0
2023/05/13,151.0
2023/05/14,146.0
2023/05/15,155.0
2023/05/16,149.0
2023/05/17,141.0
2023/05/18,143.0
2023/05/19,137.0
2023/05/20,135.0
2023/05/21,147.0
2023/05/22,147.0
2023/05/23,148.0
2023/05/24,147.0
2023/05/25,163.0
2023/05/26,155.0
2023/05/27,148.0
2023/05/28,143.0
2023/05/29,145.0
2023/05/30,149.0
2023/05/31,146.0
2023/06/01,149.0
2023/06/02,151.0
2023/06/03,151.0
