Virus Family,Virus Genus,Virus Species,Region,Sub-region,Date,Type,Case Number,Comments
Coronaviridae,Betacoronavirus,SARS-CoV-1,Oceania,Australia,2003-04-04,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Belgium,2003-04-04,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,South America,Brazil,2003-04-04,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,Canada,2003-04-04,Cases,69,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,China,2003-04-04,Cases,1220,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Hong Kong SAR, China",2003-04-04,Cases,761,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Taiwan, China",2003-04-04,Cases,15,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,France,2003-04-04,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Germany,2003-04-04,Cases,5,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Italy,2003-04-04,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Republic of Ireland,2003-04-04,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Romania,2003-04-04,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Singapore,2003-04-04,Cases,100,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Spain,2003-04-04,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Switzerland,2003-04-04,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Thailand,2003-04-04,Cases,7,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,United Kingdom,2003-04-04,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,United States,2003-04-04,Cases,100,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Viet Nam,2003-04-04,Cases,59,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Oceania,Australia,2003-04-05,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Belgium,2003-04-05,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,South America,Brazil,2003-04-05,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,Canada,2003-04-05,Cases,74,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,China,2003-04-05,Cases,1220,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Hong Kong SAR, China",2003-04-05,Cases,800,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Taiwan, China",2003-04-05,Cases,17,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,France,2003-04-05,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Germany,2003-04-05,Cases,5,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Italy,2003-04-05,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Malaysia,2003-04-05,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Republic of Ireland,2003-04-05,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Romania,2003-04-05,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Singapore,2003-04-05,Cases,101,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Spain,2003-04-05,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Switzerland,2003-04-05,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Thailand,2003-04-05,Cases,7,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,United Kingdom,2003-04-05,Cases,4,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,United States,2003-04-05,Cases,115,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Viet Nam,2003-04-05,Cases,59,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Oceania,Australia,2003-04-07,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,South America,Brazil,2003-04-07,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,Canada,2003-04-07,Cases,90,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,China,2003-04-07,Cases,1268,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Hong Kong SAR, China",2003-04-07,Cases,883,
