,Microbe Family,Microbe Genus,Microbe Species,Region,Country,Domain,Sub-Domain,date,type,number
47453,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-26,Cumulative_Deaths,0.0
47454,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-27,Cumulative_Deaths,0.0
47455,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-28,Cumulative_Deaths,0.0
47456,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-29,Cumulative_Deaths,0.0
47457,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-30,Cumulative_Deaths,0.0
47458,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-31,Cumulative_Deaths,0.0
47459,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-01,Cumulative_Deaths,0.0
47460,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-02,Cumulative_Deaths,0.0
47461,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-03,Cumulative_Deaths,0.0
47462,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-04,Cumulative_Deaths,0.0
47463,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-05,Cumulative_Deaths,0.0
47464,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-06,Cumulative_Deaths,0.0
47465,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-07,Cumulative_Deaths,0.0
47466,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-08,Cumulative_Deaths,0.0
47467,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-09,Cumulative_Deaths,0.0
47468,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-10,Cumulative_Deaths,0.0
47469,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-11,Cumulative_Deaths,0.0
47470,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-12,Cumulative_Deaths,0.0
47471,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-13,Cumulative_Deaths,0.0
47472,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-14,Cumulative_Deaths,0.0
47473,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-15,Cumulative_Deaths,0.0
47474,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-16,Cumulative_Deaths,0.0
47475,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-17,Cumulative_Deaths,0.0
47476,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-18,Cumulative_Deaths,0.0
47477,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-19,Cumulative_Deaths,0.0
47478,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-20,Cumulative_Deaths,0.0
47479,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-21,Cumulative_Deaths,0.0
47480,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-22,Cumulative_Deaths,0.0
47481,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-23,Cumulative_Deaths,0.0
47482,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-24,Cumulative_Deaths,0.0
47483,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-25,Cumulative_Deaths,0.0
47484,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-26,Cumulative_Deaths,0.0
47485,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-27,Cumulative_Deaths,0.0
47486,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-28,Cumulative_Deaths,0.0
47487,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-29,Cumulative_Deaths,0.0
47488,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-30,Cumulative_Deaths,0.0
47489,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-31,Cumulative_Deaths,0.0
47490,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-01,Cumulative_Deaths,0.0
47491,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-02,Cumulative_Deaths,0.0
47492,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-03,Cumulative_Deaths,0.0
47493,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-04,Cumulative_Deaths,0.0
47494,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-05,Cumulative_Deaths,0.0
47495,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-06,Cumulative_Deaths,0.0
47496,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-07,Cumulative_Deaths,0.0
47497,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-08,Cumulative_Deaths,0.0
47498,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-09,Cumulative_Deaths,0.0
47499,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-10,Cumulative_Deaths,0.0
47500,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-11,Cumulative_Deaths,0.0
47501,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-12,Cumulative_Deaths,0.0
47502,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-13,Cumulative_Deaths,0.0
47503,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-14,Cumulative_Deaths,0.0
47504,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-15,Cumulative_Deaths,0.0
47505,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-16,Cumulative_Deaths,0.0
47506,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-17,Cumulative_Deaths,0.0
47507,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-18,Cumulative_Deaths,0.0
47508,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-19,Cumulative_Deaths,0.0
47509,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-20,Cumulative_Deaths,0.0
47510,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-21,Cumulative_Deaths,0.0
47511,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-22,Cumulative_Deaths,0.0
47512,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-23,Cumulative_Deaths,0.0
47513,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-24,Cumulative_Deaths,0.0
47514,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-25,Cumulative_Deaths,0.0
47515,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-26,Cumulative_Deaths,0.0
47516,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-27,Cumulative_Deaths,0.0
47517,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-02-28,Cumulative_Deaths,0.0
47518,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-03-01,Cumulative_Deaths,0.0
47519,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-03-02,Cumulative_Deaths,0.0
47520,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-03-03,Cumulative_Deaths,0.0
47521,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-03-04,Cumulative_Deaths,0.0
47522,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-03-05,Cumulative_Deaths,0.0
47523,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-03-06,Cumulative_Deaths,0.0
47524,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-03-07,Cumulative_Deaths,0.0
47525,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-03-08,Cumulative_Deaths,0.0
47526,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-03-09,Cumulative_Deaths,0.0
47527,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-03-10,Cumulative_Deaths,0.0
47528,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-03-11,Cumulative_Deaths,0.0
47529,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-03-12,Cumulative_Deaths,0.0
47530,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-03-13,Cumulative_Deaths,0.0
47531,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-03-14,Cumulative_Deaths,0.0
47532,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-03-15,Cumulative_Deaths,0.0
47533,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-03-16,Cumulative_Deaths,0.0
47534,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-03-17,Cumulative_Deaths,0.0
47535,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-03-18,Cumulative_Deaths,0.0
